,Inflight wifi service,Gate location,Online boarding,Inflight entertainment,On-board service,Leg room service,Checkin service,Cleanliness,Type of Travel Ordinal,Class Ordinal,satisfaction Ordinal
51233,2,4,3,2,2,2,1,4,1,2,0
51234,1,4,1,5,2,3,2,5,1,2,0
51235,3,3,3,2,1,1,1,2,0,2,0
51236,5,1,5,5,3,2,4,5,1,2,1
51237,1,1,4,4,3,3,3,4,1,1,1
51238,2,4,3,1,3,4,3,1,1,1,0
51239,1,4,3,5,5,1,1,4,0,2,0
51240,2,2,4,4,4,4,3,4,1,1,1
51241,3,3,5,5,5,5,3,3,1,1,1
51242,3,1,4,5,5,3,4,4,0,2,0
51243,2,2,5,5,4,3,5,5,1,1,1
51245,3,2,3,3,2,4,3,3,1,1,0
51246,2,2,3,1,1,3,3,1,1,2,0
51247,3,4,3,4,2,1,3,4,1,1,0
51248,3,3,3,4,4,2,5,4,0,2,0
51249,4,4,4,3,5,4,4,3,1,1,1
51250,3,1,4,3,3,3,3,2,1,1,0
51251,2,2,5,4,4,5,3,3,1,1,1
51252,2,3,5,1,1,2,5,4,0,2,0
51253,2,2,5,4,4,4,5,3,1,1,1
51254,4,3,4,4,5,3,4,4,0,1,0
51255,2,4,5,5,5,2,5,4,0,1,0
51256,1,5,5,3,3,1,5,5,0,2,0
51257,2,5,2,2,2,3,1,2,1,2,0
51259,3,4,3,5,3,4,4,5,0,2,0
51260,1,1,5,5,3,3,3,5,1,1,1
51261,1,4,1,4,1,2,4,4,1,2,0
51262,1,3,1,1,4,4,5,1,0,2,0
51263,1,3,1,2,1,2,4,2,0,2,0
51264,2,2,4,5,5,5,5,3,1,1,1
51265,2,4,2,5,3,3,3,5,0,2,0
51266,2,4,2,2,2,5,3,2,1,2,0
51267,5,5,2,2,3,5,4,2,1,1,1
51268,4,3,4,4,2,3,2,4,1,2,1
51269,1,2,4,1,1,1,1,3,1,2,0
51270,3,3,4,5,5,5,5,3,1,1,1
51271,2,1,2,4,5,3,3,4,1,1,0
51272,1,1,5,4,4,4,4,3,1,1,1
51273,2,3,2,1,5,2,5,1,1,1,0
51274,1,1,5,3,3,3,5,4,1,1,1
51275,2,4,2,2,2,1,1,2,1,1,0
51276,3,2,3,3,3,3,3,4,1,1,0
51278,1,5,1,1,1,1,1,1,1,1,0
51279,4,4,4,4,4,4,4,4,1,1,1
51280,5,5,5,5,4,5,5,5,1,0,1
51281,3,3,2,3,3,3,3,4,1,1,0
51282,1,4,1,2,4,2,1,1,1,2,0
51283,3,3,3,5,4,5,4,5,0,2,0
51284,5,4,5,5,4,1,2,5,1,0,1
51287,2,1,2,1,3,4,4,1,1,1,0
51288,1,1,4,4,4,4,4,5,1,1,1
51289,5,5,5,5,2,1,3,5,1,1,1
51290,4,4,4,5,5,4,5,5,1,1,1
51291,1,1,4,1,1,1,3,2,1,1,0
51292,5,5,4,4,4,4,5,4,1,1,1
51293,3,3,3,3,4,2,4,3,1,1,0
51294,3,3,3,4,2,4,2,4,0,2,0
51295,2,4,2,2,2,2,3,2,1,2,0
51296,2,5,2,4,4,2,4,4,0,2,0
51297,5,5,4,4,4,4,3,4,1,1,1
51298,3,1,5,2,2,3,4,3,0,2,0
51300,3,2,3,2,2,3,2,2,1,2,0
51301,3,3,4,4,4,4,5,4,1,1,1
51302,2,5,4,2,2,2,1,4,1,2,0
51303,2,4,2,2,2,1,2,2,0,2,0
51304,4,2,3,4,4,4,3,3,1,1,0
51305,3,3,5,5,3,5,2,5,1,1,1
51306,3,4,3,4,4,3,2,4,0,2,0
51307,5,5,3,3,5,3,3,3,1,1,1
51308,4,3,4,5,3,5,4,5,0,1,0
51309,1,1,1,2,3,3,1,2,0,2,0
51310,3,3,4,4,4,4,3,5,1,1,1
51312,2,4,2,2,2,5,2,2,1,1,0
51313,2,5,2,2,3,4,5,2,0,2,0
51314,4,4,4,4,5,2,4,4,1,0,1
51315,2,1,4,4,2,4,4,4,0,2,0
51316,1,1,2,2,4,3,4,2,1,1,1
51317,2,2,2,5,2,1,2,5,1,2,0
51318,3,3,3,2,2,3,1,2,0,2,0
51319,3,3,3,4,2,5,3,4,0,2,0
51320,3,1,2,4,4,5,5,4,0,0,0
51321,2,5,3,2,2,1,4,2,1,1,0
51323,4,4,4,4,4,4,4,3,1,1,1
51324,3,4,3,3,2,1,2,3,0,2,0
51325,2,2,4,3,3,3,4,4,1,1,1
51326,3,4,3,3,1,4,3,3,1,2,0
51327,2,3,4,1,4,4,5,5,1,1,0
51329,4,5,5,3,3,3,5,3,0,1,0
51330,4,1,3,5,5,4,4,4,1,0,0
51331,2,2,2,5,5,3,2,5,0,2,0
51332,4,2,4,5,4,4,1,5,1,1,0
51333,2,2,4,5,5,5,3,5,1,1,1
51334,3,3,4,5,5,5,4,3,1,1,1
51335,5,5,4,4,5,2,3,4,1,1,1
51336,4,4,5,4,4,4,3,3,1,1,1
51337,1,1,5,5,5,2,4,5,1,1,1
51341,3,2,3,2,2,3,2,4,0,2,0
51342,3,3,2,5,4,5,2,2,1,1,1
51343,3,5,4,3,3,3,4,4,0,0,0
51344,4,2,4,5,4,2,2,5,1,2,0
51345,3,2,3,2,4,2,5,2,1,1,0
51346,2,1,2,2,2,2,2,3,1,1,0
51347,2,1,2,4,5,4,4,4,0,2,0
51348,3,5,3,2,3,4,4,2,0,1,0
51349,3,4,3,3,2,3,4,3,0,2,0
51350,4,4,4,3,4,4,1,3,1,2,0
51351,3,4,3,3,1,3,2,3,1,0,0
51352,2,3,2,5,1,3,2,5,0,2,0
51353,2,2,2,2,2,5,3,2,1,2,0
51354,1,3,1,1,4,5,1,1,1,2,0
51355,3,3,5,1,1,3,3,5,0,2,0
51356,2,2,4,4,4,4,4,4,1,1,1
51357,4,4,4,3,3,2,5,5,1,1,1
51358,4,3,3,5,4,4,3,5,1,1,1
51359,3,3,5,5,5,5,3,5,1,1,1
51360,2,2,2,5,5,3,3,5,0,1,0
51361,2,3,2,5,5,5,4,5,0,2,0
51362,3,3,3,3,2,3,3,3,1,1,0
51363,5,5,4,5,5,5,3,5,1,1,1
51364,4,3,4,4,3,4,4,4,1,2,1
51365,3,4,3,2,3,4,4,2,1,2,0
51366,3,3,4,4,4,4,5,3,1,1,1
51367,2,3,2,1,3,2,5,1,1,2,0
51368,1,1,5,5,5,5,5,3,1,1,1
51369,2,4,2,2,3,4,1,2,0,2,0
51370,4,4,4,4,4,5,1,4,1,1,1
51371,3,3,4,3,3,4,4,3,1,1,1
51372,3,4,3,3,4,2,1,3,0,2,0
51373,4,4,4,4,4,4,3,4,1,1,1
51374,3,4,2,3,3,3,3,2,1,1,0
51375,2,4,2,4,4,4,4,4,1,2,0
51376,3,3,5,4,4,4,5,3,1,1,1
51377,1,1,4,1,1,1,1,3,1,0,0
51378,1,1,5,4,4,4,4,4,1,1,1
51379,3,1,3,3,4,1,1,3,1,0,0
51380,2,3,1,1,1,2,1,4,1,2,0
51381,1,1,5,5,5,4,3,5,1,1,1
51382,2,4,2,2,2,2,1,3,1,1,0
51383,3,4,4,4,4,3,3,1,0,0,0
51384,4,4,5,5,5,5,4,4,1,1,1
51385,4,4,5,4,4,4,5,4,1,1,1
51386,2,1,3,2,2,2,2,3,1,1,0
51387,4,3,4,4,3,4,2,4,1,2,0
51388,5,1,5,5,3,2,4,5,1,2,1
51389,1,1,1,4,5,3,1,1,0,2,0
51391,1,5,4,2,2,2,4,4,1,1,0
51392,2,2,4,2,2,2,4,3,1,1,0
51393,2,2,5,5,4,3,4,5,1,1,1
51394,2,3,2,4,5,3,4,4,1,1,0
51395,4,3,4,2,2,4,1,3,0,2,1
51396,2,2,5,5,1,5,2,5,1,1,1
51398,4,4,5,4,4,5,3,3,1,1,1
51399,2,2,2,2,2,2,4,2,1,1,0
51400,3,5,3,3,1,2,5,3,0,2,0
51401,1,2,1,3,2,4,1,3,1,2,0
51403,2,3,2,4,3,5,4,4,1,2,0
51404,1,3,1,5,4,5,3,5,1,2,0
51405,3,2,3,3,4,5,2,3,1,0,0
51406,4,4,5,5,5,5,3,4,1,1,1
51409,2,4,2,4,3,1,4,4,0,2,0
51410,1,1,5,5,5,5,4,5,1,1,1
51411,1,3,1,1,5,5,5,1,0,2,0
51412,3,3,5,5,5,4,5,3,1,1,1
51413,3,3,3,3,3,3,2,1,1,1,0
51414,5,5,4,5,5,5,2,4,1,1,1
51415,2,4,2,1,3,5,5,1,0,2,0
51416,1,5,1,3,4,3,1,1,1,2,0
51417,3,3,5,4,4,4,3,3,1,1,1
51418,4,3,3,2,3,1,2,2,1,2,0
51419,3,1,3,3,3,3,3,3,1,2,0
51420,2,2,5,3,3,3,3,5,1,1,1
51421,3,3,3,3,2,4,4,3,1,2,0
51422,2,3,3,2,2,2,2,1,1,1,0
51423,1,3,1,1,4,4,1,1,1,1,0
51424,3,2,3,4,5,2,4,4,0,2,0
51425,1,2,5,4,4,1,3,4,0,2,0
51426,4,1,4,4,2,4,4,4,1,0,0
51427,1,1,5,4,4,4,4,3,1,1,1
51430,3,3,5,4,4,4,5,5,1,1,1
51431,3,3,4,3,3,3,4,5,1,1,1
51432,2,3,2,4,4,3,3,4,0,2,0
51433,3,3,3,4,3,2,4,4,1,2,0
51434,4,3,4,4,2,1,2,4,1,2,1
51435,1,1,1,1,5,4,4,1,0,0,0
51436,1,1,5,4,4,4,4,4,1,1,1
51437,1,1,5,4,4,4,3,4,1,1,1
51438,1,1,4,4,4,4,4,5,1,1,1
51439,4,2,4,4,3,3,2,4,0,2,0
51440,2,5,4,2,2,2,3,1,1,1,0
51441,2,3,2,2,4,2,4,2,0,2,0
51443,1,2,1,1,4,2,4,1,1,2,0
51444,2,1,2,3,4,5,2,3,0,2,0
51445,3,3,4,5,5,5,5,4,1,1,1
51446,4,5,4,3,4,3,4,3,0,2,1
51447,1,1,5,3,3,4,3,4,1,1,1
51448,1,1,4,4,4,4,5,5,1,1,1
51449,3,4,3,3,1,3,2,3,1,2,0
51450,4,1,4,4,4,4,1,4,1,2,0
51451,5,5,3,5,5,5,4,3,1,1,1
51452,2,3,2,3,2,5,4,3,1,2,0
51453,4,1,5,5,5,4,5,3,0,1,0
51454,3,3,5,5,5,5,2,2,1,1,1
51455,2,4,2,2,3,5,1,2,1,1,0
51457,4,4,5,2,2,2,2,4,1,1,1
51458,1,1,2,1,1,1,2,2,1,1,0
51459,3,3,4,4,2,3,1,4,1,1,1
51460,3,3,5,4,4,4,3,3,1,1,1
51461,4,3,4,4,1,5,5,4,1,0,1
51462,2,2,5,4,4,4,3,4,1,1,1
51463,2,2,5,5,5,5,3,4,1,1,1
51464,4,3,4,1,2,5,5,1,1,2,0
51465,1,3,5,3,3,5,3,3,0,2,0
51466,2,2,2,3,5,2,5,3,1,2,0
51467,3,2,3,4,3,3,3,4,0,2,0
51468,3,3,3,3,2,3,4,3,1,2,0
51469,4,4,4,4,4,4,5,3,1,1,1
51471,5,4,5,5,5,3,4,5,1,2,1
51472,2,2,2,1,4,3,5,1,0,2,0
51473,2,1,3,2,2,2,3,1,1,1,0
51474,1,1,5,5,3,2,3,5,1,1,1
51475,1,1,1,3,4,2,5,3,0,2,0
51476,1,1,5,5,5,5,4,3,1,1,1
51477,4,4,4,5,5,5,4,3,1,1,1
51478,4,4,4,3,2,5,3,3,0,2,0
51480,2,4,2,2,2,4,1,2,1,2,0
51481,3,4,3,3,3,3,4,2,1,1,0
51482,3,3,3,1,5,4,5,1,0,2,0
51483,5,4,5,5,2,4,2,5,1,0,1
51484,3,4,3,5,4,3,4,5,1,2,0
51485,1,3,1,1,1,1,4,1,1,2,0
51486,4,4,3,3,4,4,5,3,0,2,0
51487,4,5,4,3,3,2,3,3,0,2,0
51488,2,4,4,1,1,2,2,2,0,0,0
51489,3,2,5,3,3,3,5,4,0,2,0
51490,2,4,1,5,5,4,3,5,0,2,0
51491,2,2,5,5,5,5,5,5,1,1,1
51492,4,4,5,4,4,4,3,3,1,1,1
51493,2,3,2,2,1,2,1,2,0,0,0
51494,2,1,2,4,4,1,2,4,0,0,0
51495,3,3,5,5,5,5,3,5,1,1,1
51496,2,2,3,5,5,4,4,4,1,1,1
51497,2,1,2,3,4,3,5,3,0,2,0
51498,2,5,5,1,1,2,4,4,0,2,0
51500,3,3,4,2,2,3,4,4,0,2,0
51502,4,4,4,5,5,5,5,5,1,1,1
51503,5,5,4,4,3,4,4,4,1,1,1
51504,4,4,4,4,3,3,3,4,1,2,1
51505,5,1,2,5,5,5,3,3,1,2,1
51506,5,4,5,5,2,4,4,5,1,2,1
51507,3,1,3,3,3,3,4,3,1,2,0
51508,3,3,4,4,4,3,3,3,0,2,0
51510,3,4,2,2,5,3,4,2,1,1,0
51511,2,2,3,5,5,2,4,4,0,1,0
51512,4,2,4,2,4,3,3,2,0,2,0
51513,4,3,4,4,3,3,4,4,0,2,0
51514,1,3,1,1,4,5,4,1,1,1,0
51515,3,3,3,5,1,2,4,5,1,2,0
51516,3,1,3,4,2,4,3,3,1,1,0
51517,5,5,5,5,5,5,5,3,1,1,1
51518,3,1,3,3,3,4,4,3,0,0,0
51519,3,3,3,5,5,5,4,5,0,2,0
51520,4,4,4,5,5,5,4,3,1,1,1
51521,5,1,5,5,3,1,3,5,1,0,1
51522,1,3,1,2,3,3,1,2,1,1,0
51523,2,2,4,2,2,2,2,2,1,1,0
51524,2,3,2,5,4,2,3,5,1,2,0
51525,1,1,3,3,2,4,3,3,1,1,1
51526,5,5,5,5,5,5,4,4,1,1,1
51527,3,3,4,4,4,4,5,5,1,1,1
51528,4,4,5,3,3,4,4,4,1,1,1
51529,1,3,1,5,2,4,3,5,0,2,0
51530,4,4,5,4,4,4,5,2,1,0,1
51531,3,3,3,1,5,4,4,1,0,2,0
51532,2,2,3,5,2,2,2,5,0,2,0
51533,5,5,4,4,4,4,4,4,1,1,1
51534,2,5,2,2,5,4,4,2,0,1,0
51535,4,1,4,5,5,1,5,5,0,0,0
51536,4,2,4,4,4,5,5,4,0,2,1
51537,2,3,2,1,4,4,3,1,1,1,0
51538,3,5,3,1,1,4,2,1,0,2,0
51539,4,3,4,1,3,5,3,1,0,2,0
51540,3,3,5,4,4,4,4,3,1,1,1
51541,1,4,1,1,3,4,3,1,0,2,0
51542,3,4,3,2,3,5,4,2,0,2,0
51543,2,3,3,2,2,2,3,4,1,1,0
51544,1,2,4,4,4,1,3,5,0,0,0
51545,3,5,3,3,4,4,3,3,1,0,0
51546,4,3,4,4,5,4,5,4,1,2,1
51547,2,2,5,4,3,2,5,5,0,2,0
51549,4,5,4,4,3,2,1,4,1,2,1
51550,3,3,5,5,5,4,5,5,1,1,1
51551,1,4,5,3,3,4,3,3,0,2,0
51552,4,1,5,4,4,3,4,4,0,2,0
51553,3,3,5,4,4,4,4,5,1,1,1
51554,2,3,3,4,3,3,4,4,1,2,1
51555,4,3,4,3,5,4,4,3,0,2,0
51556,3,5,3,5,4,3,4,5,0,2,0
51557,1,1,4,4,4,4,5,4,1,1,1
51558,2,3,2,2,4,2,4,2,0,2,0
51559,2,2,5,4,4,4,3,3,1,1,1
51560,3,3,3,2,2,1,3,2,1,2,0
51561,3,3,3,3,3,3,3,3,0,2,0
51562,3,1,4,1,1,3,5,5,0,2,0
51563,3,3,3,1,4,4,2,1,0,2,0
51565,2,3,2,5,3,3,3,5,0,2,0
51566,2,2,3,5,5,3,3,5,0,2,0
51567,2,3,2,3,4,4,3,3,0,2,0
51568,2,2,4,5,5,5,3,5,1,1,1
51569,3,4,4,3,3,2,3,2,1,1,0
51570,1,4,1,2,1,3,2,2,1,2,0
51571,3,1,1,3,3,3,2,1,1,1,0
51572,2,1,2,3,5,4,4,3,1,1,1
51573,3,4,3,2,3,5,3,2,1,1,0
51574,3,3,3,4,5,5,3,4,0,2,0
51575,3,1,3,5,5,4,5,5,0,2,0
51576,4,4,5,5,5,5,4,5,1,1,1
51577,1,4,1,5,3,5,3,5,1,1,0
51578,4,4,5,5,5,5,5,3,1,1,1
51579,2,3,3,2,2,2,3,2,1,2,0
51580,4,4,4,4,5,2,4,4,1,1,1
51581,2,2,5,4,4,4,3,3,1,1,1
51582,1,3,1,1,3,3,3,1,1,1,0
51583,5,5,4,5,5,5,5,4,1,1,1
51584,4,3,4,2,4,4,4,4,1,0,0
51586,1,1,4,4,4,4,3,5,1,1,1
51587,1,2,2,3,5,3,4,3,1,2,0
51588,3,5,3,3,1,4,1,3,1,1,0
51589,2,3,2,5,4,3,3,5,0,2,0
51590,2,1,1,2,2,2,3,2,0,2,0
51591,5,5,5,4,4,4,3,5,1,1,1
51592,4,3,4,3,1,4,1,3,1,2,0
51593,5,3,5,3,5,2,3,3,0,2,1
51594,2,3,2,4,3,1,2,4,1,1,0
51595,1,1,4,4,4,3,4,4,1,1,1
51596,4,1,4,1,2,2,2,1,0,2,1
51597,2,4,2,3,2,1,4,3,1,2,0
51598,3,1,3,5,1,1,3,5,1,2,0
51599,2,2,5,2,2,2,4,4,1,1,1
51600,2,2,4,2,2,2,4,4,1,1,1
51601,2,1,2,3,5,3,4,3,1,1,0
51602,3,3,3,2,4,1,4,2,1,2,0
51603,5,4,5,5,3,5,4,5,1,2,1
51604,3,3,4,5,5,1,2,5,0,2,0
51605,4,4,5,5,5,5,4,5,1,1,1
51606,5,2,5,3,5,4,4,3,1,2,1
51607,3,1,3,5,4,2,1,5,1,2,0
51608,2,3,2,2,2,2,3,2,1,1,0
51609,4,4,4,4,5,2,5,4,1,1,1
51610,3,5,3,4,4,3,2,4,0,0,0
51611,5,1,5,5,3,5,2,5,1,2,1
51613,2,2,4,4,4,5,3,3,1,1,1
51614,3,3,4,5,5,5,5,3,1,1,1
51615,2,4,2,2,4,5,1,2,0,2,0
51616,1,1,4,4,4,4,5,3,1,1,1
51617,3,3,5,3,3,4,5,5,1,1,1
51618,4,1,4,5,4,1,3,5,0,2,0
51619,5,2,5,3,1,4,4,3,1,2,1
51620,3,5,3,5,5,5,3,5,0,2,0
51621,1,1,1,2,3,3,1,2,0,2,0
51622,3,3,5,4,4,4,4,4,1,1,1
51623,1,2,3,1,1,1,2,1,1,1,0
51624,2,2,4,5,5,5,3,5,1,1,1
51626,2,3,5,3,3,1,5,5,0,2,0
51627,4,3,4,5,5,5,4,5,1,2,0
51628,4,4,4,5,5,4,5,5,1,1,0
51629,5,2,5,5,2,1,4,5,1,0,1
51630,1,4,1,2,3,3,4,2,1,2,0
51631,2,5,2,4,5,4,4,4,0,0,0
51632,3,1,3,3,4,4,4,3,0,2,0
51633,5,5,5,5,5,4,5,3,1,1,1
51634,3,2,3,5,4,5,5,5,0,2,0
51635,2,2,2,2,2,4,3,2,1,2,0
51636,2,2,5,5,5,5,4,5,1,1,1
51638,3,2,3,3,2,4,5,3,1,2,1
51639,4,4,4,4,4,5,5,3,1,1,1
51640,4,2,3,4,3,4,1,4,1,0,0
51641,1,1,4,4,4,4,4,3,1,1,1
51642,1,3,3,3,3,1,3,2,0,2,0
51643,4,1,4,4,5,2,1,4,1,2,1
51644,3,1,2,1,5,3,3,1,1,2,0
51645,1,1,4,5,5,5,4,4,1,1,1
51646,4,4,4,1,5,5,5,1,0,2,0
51647,1,1,4,5,4,3,4,4,1,1,1
51648,2,2,4,5,5,5,5,5,1,1,1
51649,3,3,2,3,3,3,1,2,0,2,0
51650,2,2,3,3,3,3,3,4,1,1,1
51651,2,2,2,5,4,3,3,5,1,1,0
51652,5,5,5,5,4,4,3,5,1,1,1
51653,3,3,5,5,3,3,3,5,1,1,1
51654,3,3,4,3,3,4,5,4,1,1,1
51655,2,2,4,4,4,4,5,5,1,1,1
51656,1,4,5,4,4,5,5,5,0,0,0
51657,3,3,5,5,4,4,3,5,1,1,1
51658,3,4,3,4,1,5,3,4,0,0,0
51659,3,1,3,4,5,5,5,4,0,2,0
51660,4,3,3,4,4,4,2,3,1,1,0
51661,2,2,5,5,5,4,5,5,1,1,1
51662,1,1,4,5,5,5,5,4,1,1,1
51663,2,2,5,5,3,4,4,5,1,1,1
51664,4,1,3,5,5,4,1,2,1,2,0
51665,1,4,2,1,2,2,2,1,1,0,0
51666,4,4,5,3,5,3,3,3,1,1,1
51667,4,4,3,4,4,4,5,1,1,2,1
51668,2,3,5,4,3,3,5,5,1,2,0
51669,3,3,4,5,5,5,3,3,1,1,1
51670,1,2,1,4,3,2,5,4,0,2,0
51672,1,1,4,5,5,5,3,4,1,1,1
51673,2,4,2,5,4,3,1,5,1,0,0
51674,1,1,4,4,4,4,3,4,1,1,1
51675,2,2,4,4,1,1,5,4,1,1,1
51676,4,2,4,2,4,2,5,2,1,2,1
51677,2,4,2,1,1,4,4,1,0,2,0
51678,3,3,3,3,3,3,4,2,1,1,0
51679,2,3,4,1,1,2,3,4,0,2,0
51680,3,3,3,2,1,1,1,2,1,2,0
51681,5,5,1,4,4,4,2,5,1,1,1
51682,2,4,4,3,3,4,4,3,0,2,0
51684,5,5,4,4,4,4,4,5,1,1,1
51685,1,1,4,2,2,2,4,3,1,1,1
51687,5,5,5,4,4,4,3,4,1,1,1
51688,1,1,1,3,4,4,3,3,0,2,0
51689,2,4,2,5,3,3,3,5,0,2,0
51690,5,4,5,2,2,5,3,2,1,2,1
51691,1,4,1,4,3,5,1,4,0,2,0
51692,3,4,3,5,1,1,4,5,0,2,0
51694,1,3,1,1,4,3,4,1,1,1,0
51695,4,4,4,4,4,4,5,5,1,1,1
51696,2,3,4,3,3,2,4,4,0,2,0
51697,4,4,4,2,2,3,4,2,0,2,1
51698,3,4,3,3,5,3,4,3,0,2,0
51699,3,3,3,3,5,4,3,3,1,1,1
51700,3,3,3,5,2,2,2,5,0,2,0
51701,2,2,4,4,4,4,4,3,1,1,1
51702,3,3,2,4,2,1,2,4,1,2,0
51703,5,5,4,2,2,2,4,4,1,1,1
51704,3,3,5,3,3,2,3,5,0,0,0
51705,5,5,4,1,1,2,4,5,1,1,1
51706,3,4,3,3,2,2,2,3,1,1,0
51707,4,3,5,4,4,5,1,4,1,0,1
51708,3,3,3,5,5,5,4,3,1,1,1
51709,2,5,3,2,2,2,1,1,1,1,0
51710,3,5,3,4,4,3,3,1,0,2,0
51711,2,3,3,5,5,2,2,5,0,2,0
51712,1,1,4,4,4,4,5,5,1,1,1
51713,4,4,4,3,3,4,5,3,0,2,0
51714,5,1,3,5,5,5,1,5,1,0,1
51715,2,2,4,4,4,4,5,3,1,1,1
51716,3,3,3,1,3,2,4,1,0,2,0
51717,2,3,5,4,4,2,3,3,0,2,0
51718,3,4,4,4,5,2,5,5,1,1,0
51719,2,2,4,5,5,5,2,1,1,1,1
51720,2,2,5,5,5,5,3,5,1,1,1
51721,2,2,3,2,2,2,3,4,1,1,0
51722,2,2,3,3,4,3,3,3,1,1,1
51723,3,3,5,5,5,5,3,5,1,1,1
51724,4,4,5,2,4,3,3,2,1,2,1
51725,5,5,5,3,3,4,5,3,1,1,1
51726,2,2,4,5,5,3,3,5,1,1,1
51727,2,4,3,2,2,2,3,4,1,0,0
51728,3,3,2,2,4,3,3,2,0,2,0
51729,1,3,5,4,1,1,5,5,1,2,0
51730,2,2,2,2,2,1,1,2,1,1,0
51731,4,4,1,4,5,4,1,1,1,2,1
51732,1,2,1,2,2,1,1,2,1,2,0
51733,1,1,4,4,4,4,5,4,1,1,1
51734,1,1,4,4,4,4,5,3,1,1,1
51736,5,5,5,5,1,4,5,5,1,1,1
51738,1,5,2,1,3,3,3,1,1,1,0
51739,1,1,5,4,4,4,3,3,1,1,1
51740,1,2,1,2,1,3,1,2,1,2,0
51741,4,1,4,4,4,3,2,4,1,2,0
51742,2,4,1,1,1,1,4,1,1,1,0
51744,3,3,2,5,5,5,4,2,1,1,1
51745,2,4,2,2,3,1,3,2,1,2,1
51746,1,1,5,5,5,2,4,5,1,1,1
51747,3,3,3,2,1,2,1,2,0,2,0
51748,3,3,5,5,5,4,5,3,1,1,1
51749,4,1,4,4,5,3,4,4,1,2,1
51750,2,2,2,5,4,3,3,5,1,2,0
51751,3,2,3,2,4,2,4,2,1,0,0
51752,2,1,4,2,2,2,1,3,1,1,0
51753,2,5,2,2,5,2,5,2,0,2,0
51755,2,3,2,5,2,2,4,5,0,2,0
51756,1,5,1,3,1,1,3,3,0,2,0
51757,1,2,1,4,4,1,3,4,0,2,0
51758,4,4,4,4,1,3,2,4,0,2,1
51759,3,3,3,3,4,4,4,3,0,2,0
51760,2,2,5,5,5,5,4,3,1,1,1
51761,1,1,5,5,5,5,4,3,1,1,1
51762,5,5,3,5,5,5,1,4,1,1,1
51763,4,4,4,5,5,5,5,3,1,1,1
51764,2,2,2,5,4,4,4,5,1,1,0
51765,3,3,4,4,4,5,5,4,1,1,1
51766,3,3,3,4,4,3,4,2,0,0,0
51767,4,1,4,4,4,4,3,4,1,1,0
51768,3,3,3,3,4,2,2,3,1,2,0
51769,3,4,4,1,2,4,3,1,0,2,0
51770,3,3,4,3,3,3,2,4,0,1,0
51771,3,2,3,4,2,5,2,4,0,2,0
51772,5,2,4,3,2,4,4,4,1,2,1
51773,3,4,5,3,3,4,1,5,0,2,0
51774,3,1,4,4,4,3,5,3,0,1,0
51775,2,4,2,3,4,5,5,3,1,1,0
51776,5,5,5,5,5,5,3,1,1,1,1
51777,1,3,1,4,1,2,4,4,0,2,0
51778,3,1,4,3,3,3,2,4,1,1,0
51779,4,4,4,1,3,4,4,1,0,2,0
51780,2,5,1,3,5,3,5,3,1,1,0
51782,1,1,5,4,4,5,4,4,1,1,1
51783,3,3,5,5,5,4,5,5,1,1,1
51784,1,3,1,4,4,5,3,4,1,2,0
51785,3,2,4,3,3,3,1,1,1,2,0
51786,3,3,3,3,2,3,2,3,1,2,0
51788,1,1,5,5,3,2,5,5,1,1,1
51789,1,4,1,4,1,2,3,4,1,2,0
51790,1,1,4,4,4,4,3,3,1,1,1
51791,2,2,5,5,5,5,5,4,1,1,1
51792,4,4,4,4,3,5,4,4,1,1,1
51793,4,3,4,3,4,5,4,3,1,2,0
51794,5,5,5,5,5,5,3,5,1,1,1
51795,5,1,5,3,5,3,4,3,1,1,1
51796,1,1,5,5,5,5,3,3,1,1,1
51798,3,3,4,5,5,5,3,5,1,1,1
51799,3,3,4,5,5,5,3,3,1,1,1
51800,2,3,2,3,1,4,3,3,0,2,0
51801,3,2,3,2,4,5,5,2,0,2,0
51802,1,4,1,2,4,2,4,2,0,2,0
51803,1,3,3,3,3,1,2,4,0,0,0
51804,2,5,2,3,3,2,4,3,0,2,0
51805,3,3,3,5,4,2,1,5,0,2,0
51806,2,1,2,2,5,2,3,2,0,2,0
51807,1,1,4,4,4,4,5,3,1,1,1
51808,3,2,3,3,2,4,2,3,1,1,0
51809,5,5,4,5,5,5,3,5,1,1,1
51810,3,3,3,4,3,3,4,4,1,1,1
51811,1,3,2,1,4,3,4,1,1,1,0
51812,2,5,2,3,5,1,1,3,0,2,0
51813,5,1,5,1,5,4,5,1,1,1,1
51814,2,2,2,4,4,4,2,3,1,1,1
51815,3,3,3,4,5,5,4,4,0,2,0
51816,5,5,3,5,5,5,2,3,1,1,1
51817,1,3,4,2,2,2,2,3,0,1,0
51818,4,2,4,4,3,4,2,4,1,0,1
51819,2,2,2,5,4,1,2,5,1,1,0
51820,3,3,4,5,5,3,4,1,0,1,0
51821,3,2,3,3,3,1,5,3,1,2,0
51822,3,3,3,3,1,3,1,3,1,2,0
51823,2,2,2,3,1,4,1,3,0,2,0
51824,4,3,4,2,1,5,1,2,1,2,0
51825,2,3,4,2,2,2,2,3,1,2,0
51826,1,3,1,3,2,4,1,3,1,2,0
51827,2,3,2,4,3,4,5,4,1,1,0
51828,3,3,5,2,2,2,4,4,1,1,1
51829,1,4,1,4,5,5,3,4,0,2,0
51830,5,5,1,4,4,4,5,4,1,1,1
51831,3,3,5,3,3,4,5,5,1,1,1
